,defence_scored_average,points_scored_average,sal_diff,in_win_diff,out_win_diff,difference,total_points,target_flag
185,195.0,187.0,322527.0,2.0,0.0,8,220,0.0
186,215.0,214.0,30266524.0,3.0,3.0,19,207,0.0
187,194.0,204.0,-17940726.0,1.0,6.0,1,189,0.0
188,190.0,206.0,-34756195.0,3.0,3.0,9,215,0.0
189,206.0,220.0,-29200463.0,-1.0,3.0,-23,213,0.0
190,208.0,214.0,38587565.0,2.0,2.0,13,211,0.0
191,221.0,235.0,35927419.0,1.0,5.0,10,210,0.0
192,225.0,214.0,12925014.0,1.0,2.0,-4,214,0.0
193,201.0,193.0,-4682679.0,-1.0,3.0,7,213,0.0
194,216.0,205.0,8097082.0,2.0,5.0,1,211,0.0
195,209.0,227.0,-9084710.0,3.0,1.0,-3,205,0.0
196,218.0,207.0,-952950.0,-1.0,2.0,-7,193,0.0
197,210.0,207.0,14110276.0,-2.0,2.0,17,181,0.0
198,216.0,207.0,-10546804.0,2.0,0.0,-11,207,0.0
199,211.0,201.0,46282095.0,2.0,3.0,18,202,0.0
200,217.0,218.0,-10628021.0,-3.0,2.0,-7,211,0.0
201,209.0,194.0,-17939916.0,-5.0,1.0,-6,188,0.0
202,201.0,213.0,-8901361.0,0.0,7.0,-16,242,1.0
203,223.0,195.0,16015571.0,-2.0,2.0,46,206,0.0
204,217.0,226.0,2535714.0,1.0,1.0,-8,222,1.0
205,214.0,219.0,-2172964.0,2.0,2.0,-6,224,1.0
206,197.0,200.0,17127964.0,1.0,3.0,-3,229,1.0
207,197.0,209.0,22350330.0,-2.0,3.0,-9,195,0.0
208,206.0,202.0,-6032278.0,-3.0,3.0,4,194,0.0
209,196.0,205.0,3528062.0,-2.0,4.0,12,184,0.0
210,209.0,220.0,-29387838.0,-1.0,5.0,-9,241,1.0
211,218.0,206.0,-7604910.0,0.0,1.0,5,207,0.0
212,220.0,211.0,39809517.0,3.0,2.0,13,171,0.0
213,202.0,202.0,21136864.0,1.0,2.0,5,193,0.0
214,195.0,219.0,-20460240.0,0.0,7.0,4,180,0.0
215,204.0,217.0,-33708431.0,-1.0,2.0,-26,258,1.0
216,224.0,206.0,-322527.0,-3.0,2.0,11,225,1.0
217,200.0,179.0,-16158640.0,-3.0,1.0,3,243,1.0
218,229.0,221.0,-207556.0,0.0,5.0,5,231,1.0
219,208.0,202.0,-21467978.0,-4.0,1.0,-24,198,0.0
220,215.0,226.0,3006521.0,3.0,2.0,32,260,1.0
221,213.0,197.0,-18477563.0,-4.0,4.0,7,207,0.0
222,223.0,211.0,952950.0,1.0,2.0,-9,235,1.0
223,207.0,208.0,-41229450.0,-4.0,1.0,4,168,0.0
224,194.0,208.0,-20647649.0,1.0,3.0,3,205,0.0
225,218.0,216.0,35851130.0,-3.0,5.0,23,191,0.0
226,196.0,209.0,-22350330.0,2.0,4.0,-3,179,0.0
227,196.0,221.0,-19544194.0,-6.0,2.0,-11,209,0.0
228,228.0,220.0,2328158.0,1.0,1.0,15,189,0.0
229,206.0,193.0,-13510855.0,-4.0,1.0,32,190,0.0
230,213.0,233.0,-12072499.0,0.0,3.0,-22,188,0.0
231,214.0,204.0,-5161685.0,-2.0,4.0,-40,210,0.0
232,205.0,219.0,-42003392.0,-4.0,6.0,-8,240,1.0
233,210.0,182.0,41229450.0,3.0,2.0,12,192,0.0
234,216.0,226.0,-31088261.0,-2.0,2.0,-7,229,1.0
235,219.0,206.0,-15275525.0,-3.0,2.0,18,236,1.0
236,206.0,206.0,53233758.0,-1.0,4.0,-25,215,0.0
237,197.0,202.0,1924845.0,-2.0,5.0,-3,197,0.0
238,229.0,198.0,-2220446.0,1.0,3.0,8,218,0.0
239,192.0,215.0,7218396.0,0.0,5.0,9,191,0.0
240,195.0,215.0,-6531290.0,0.0,1.0,16,220,0.0
241,190.0,208.0,-21226668.0,-5.0,1.0,-8,212,0.0
